category,question,choice1,choice2,choice3,choice4,answer_index,explanation,difficulty
math,7 たす 8 は いくつでしょう?,13,14,15,16,2,7+8=15です。,1
math,100 ひく 36 は いくつでしょう?,64,66,74,54,0,100-36=64です。,1
math,6 かける 7 は いくつでしょう?,36,42,48,54,1,6×7=42です。,1
math,72 わる 8 は いくつでしょう?,8,9,7,6,1,72÷8=9です。,1
history,江戸時代の「江戸」は いまの どこでしょう?,大阪,京都,東京,名古屋,2,江戸は いまの東京です。,1
history,「明治」の つぎの元号は 何でしょう?,昭和,大正,平成,令和,1,明治→大正→昭和→平成→令和の順です。,1
history,奈良時代の都「平城京」が あったのは いまの何県でしょう?,京都府,奈良県,滋賀県,大阪府,1,平城京は いまの奈良県にありました。,1
history,江戸時代に つかわれた お金の単位は どれでしょう?,円,ドル,両,ポイント,2,江戸時代は「両」などが つかわれました。,1
geography,日本で いちばん高い山は どれでしょう?,富士山,北岳,槍ヶ岳,阿蘇山,0,富士山は3776メートルで日本一です。,1
geography,日本で いちばん大きい湖は どれでしょう?,霞ヶ浦,琵琶湖,猪苗代湖,洞爺湖,1,滋賀県の琵琶湖が日本一大きい湖です。,1
geography,北海道の道庁がある街は どこでしょう?,函館,旭川,札幌,小樽,2,北海道の道庁所在地は札幌市です。,1
geography,日本で いちばん南にある県は どこでしょう?,鹿児島県,沖縄県,高知県,宮崎県,1,いちばん南の県は沖縄県です。,1
heritage,世界遺産「白川郷」の合掌造りの集落が あるのは何県でしょう?,岐阜県,長野県,富山県,新潟県,0,白川郷は岐阜県にあります。,1
heritage,海の上の大鳥居で有名な世界遺産「厳島神社」は 何県にあるでしょう?,山口県,島根県,広島県,岡山県,2,厳島神社は広島県の宮島にあります。,1
heritage,白鷺城とも よばれる世界遺産のお城は どれでしょう?,松本城,姫路城,熊本城,大阪城,1,兵庫県の姫路城は白鷺城とも よばれます。,1
heritage,縄文杉で有名な世界自然遺産の島は どこでしょう?,佐渡島,屋久島,淡路島,種子島,1,屋久島は鹿児島県の世界自然遺産です。,1
general,ことわざ「さるも木から◯◯」。◯◯に入るのは?,ころぶ,おちる,すべる,とぶ,1,名人でも失敗することがある という意味です。,1
general,ことわざ「石の上にも◯年」。◯に入る数字は?,一,二,三,十,2,しんぼう強く続ければ実る という意味です。,1
general,一年で いちばん昼が長い日を 何というでしょう?,冬至,春分,夏至,秋分,2,夏至は6月の下旬ごろです。,1
general,ことわざ「早起きは◯文の得」。◯に入る数字は?,一,三,五,十,1,早起きすると良いことがある という意味です。,1
